AAE IU +09.029200 +038.765600 +2442.0 "BHE BHN BHZ EHE EHN EHZ LHE LHN LHZ SHE SHN SHZ VCI VHE VHN VHZ" "Addis Ababa, Ethiopia" 1994,346,00:00:00 1997,259,00:00:00
AAM US +42.301190 -083.656690  +172.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ" "Ann Arbor, Michigan, USA" 1994,171,00:00:00 2599,365,23:59:59
ADK IU +51.883700 -176.684400  +116.0 "BC0 BCI BCZ BE2 BE3 BE4 BHE BHN BHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Adak, Aleutian Islands, Alaska" 1993,264,00:00:00 1995,232,00:00:00
ADK IU +51.883700 -176.684400  +116.0 "BC0 BCI BCZ BE2 BE3 BE4 BHE BHN BHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Adak, Aleutian Islands, Alaska" 1995,232,00:00:00 2599,365,23:59:59
AFI IU -13.909300 -171.777300  +706.0 "BC0 BC1 BCE BCI BCN BCZ BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ MHE MHN MHZ SCI SHE SHN SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Afiamalu, Western Samoa" 1993,236,00:00:00 2599,365,23:59:59
AHID US +42.765390 -111.100390 +1960.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ" "Auburn Hatchery, Idaho, USA" 1997,316,00:00:00 2599,365,23:59:59
ALQ US +34.946200 -106.456700 +1840.0 "LHE LHN LHZ MHE MHN MHZ SHZ" "Albuquerque, New Mexico, USA" 1995,001,00:00:00 2599,365,23:59:59
ANMO IU +34.946200 -106.456700 +1740.0 "BCI BH1 BH2 BHE BHN BHU BHV BHW BHZ EHE EHN EHZ ELE ELN ELZ HH1 HH2 HHU HHV HHW HHZ LCI LD2 LDI LFZ LH1 LH2 LHE LHN LHU LHV LHW LHZ LWS SHE SHN SHZ UCI UD2 UDI UFZ UH1 UH2 UHE UHN UHZ UWS VCI VD2 VDI VE1 VFZ VH1 VH2 VHE VHN VHZ VK1 VWS" "Albuquerque, New Mexico, USA" 1989,241,00:00:00 1995,195,00:00:00
ANMO IU +34.946200 -106.456700 +1840.0 "BCI BH1 BH2 BHE BHN BHU BHV BHW BHZ EHE EHN EHZ ELE ELN ELZ HH1 HH2 HHU HHV HHW HHZ LCI LD2 LDI LFZ LH1 LH2 LHE LHN LHU LHV LHW LHZ LWS SHE SHN SHZ UCI UD2 UDI UFZ UH1 UH2 UHE UHN UHZ UWS VCI VD2 VDI VE1 VFZ VH1 VH2 VHE VHN VHZ VK1 VWS" "Albuquerque, New Mexico, USA" 1995,195,00:00:00 2599,365,23:59:59
ANTO IU +39.868900 +032.793599  +883.0 "BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI" "Ankara, Turkey" 1992,269,00:00:00 2599,365,23:59:59
ATTU IM +52.882100 +173.164200  +250.0 "BHE BHN BHZ SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
